gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
65460,9/30/2019,2019,3,12,INDL,C,D,STD,RDCM,RADCOM,USD,2019Q3,2019Q3,,9.504,13.7,79.387,0,-1.66,9.389,4.102,14,A,125.492,9.16,45103010
65460,12/31/2019,2019,4,12,INDL,C,D,STD,RDCM,RADCOM,USD,2019Q4,2019Q4,,6.201,13.786,78.837,0,-1.092,9.029,4.232,14,A,117.4567,8.52,45103010
65460,3/31/2020,2020,1,12,INDL,C,D,STD,RDCM,RADCOM,USD,2020Q1,2020Q1,,4.766,13.786,75.937,0,-2.909,8.328,4.79,14,A,83.8189,6.08,45103010
65460,6/30/2020,2020,2,12,INDL,C,D,STD,RDCM,RADCOM,USD,2020Q2,2020Q2,,8.234,13.786,75.927,0,-0.18,9.159,4.138,14,A,112.218,8.14,45103010
65460,9/30/2020,2020,3,12,INDL,C,D,STD,RDCM,RADCOM,USD,2020Q3,2020Q3,,8.06,13.786,75.977,0,-0.442,9.829,4.406,14,A,130.4156,9.46,45103010
65460,12/31/2020,2020,4,12,INDL,C,D,STD,RDCM,RADCOM,USD,2020Q4,2020Q4,,13.548,13.931,74.027,0,-0.461,10.246,4.507,14,A,152.5445,10.95,45103010
65460,3/31/2021,2021,1,12,INDL,C,D,STD,RDCM,RADCOM,USD,2021Q1,2021Q1,,23.082,13.931,72.737,0,-1.746,9.14,5.036,14,A,137.6383,9.88,45103010
65460,6/30/2021,2021,2,12,INDL,C,D,STD,RDCM,RADCOM,USD,2021Q2,2021Q2,,6.696,13.931,72.128,0,-1.097,9.756,5.156,14,A,156.0272,11.2,45103010
65460,9/30/2021,2021,3,12,INDL,C,D,STD,RDCM,RADCOM,USD,2021Q3,2021Q3,,7.147,13.931,71.565,0,-1.069,10.228,4.586,14,A,158.8134,11.4,45103010
65540,3/31/2019,2019,3,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2019Q1,2019Q3,,48.757,56.816,608.457,172.218,-58.459,36.586,,14,A,203.9694,3.59,45102020
65540,6/30/2019,2019,4,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2019Q2,2019Q4,,46.065,56.568,427.101,161.276,-174.987,36.762,0.7,14,A,226.272,4,45102020
65540,9/30/2019,2020,1,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2019Q3,2020Q1,,41.976,56.568,409.239,152.361,-4.422,46.216,,14,A,201.9478,3.57,45102020
65540,12/31/2019,2020,2,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2019Q4,2020Q2,,50.719,56.568,432.731,156.981,-0.233,38.918,,14,A,210.433,3.72,45102020
65540,3/31/2020,2020,3,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2020Q1,2020Q3,,209.29,57.119,370.408,24.274,-35.076,34.614,,14,A,166.2163,2.91,45102020
65540,6/30/2020,2020,4,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2020Q2,2020Q4,,217.671,57.119,378.504,24.781,-39.024,31.249,1.6,14,A,173.6418,3.04,45102020
65540,9/30/2020,2021,1,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2020Q3,2021Q1,,209.185,56.639,357.626,25.413,-28.958,35.136,,14,A,190.8734,3.37,45102020
65540,12/31/2020,2021,2,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2020Q4,2021Q2,,206.251,56.615,372.955,28.991,-4.534,32.305,,14,A,278.5458,4.92,45102020
65540,3/31/2021,2021,3,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2021Q1,2021Q3,,207.814,56.626,361.495,28.578,-6.204,28.828,,14,A,317.1056,5.6,45102020
65540,6/30/2021,2021,4,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2021Q2,2021Q4,,198.572,56.717,362.849,29.51,1.639,34.517,0.3,14,A,267.1371,4.71,45102020
65540,9/30/2021,2022,1,6,INDL,C,D,STD,UEPS,NET 1 UEPS TECHNOLOGIES INC,USD,2021Q3,2022Q1,,188.495,56.996,343.139,27.94,-12.994,34.504,,14,A,265.0314,4.65,45102020
65899,3/31/2019,2019,1,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2019Q1,2019Q1,,36.897,37.918,69.683,88.06,,,,14,A,117.925,3.11,45103010
65899,6/30/2019,2019,2,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2019Q2,2019Q2,,26.339,38.049,59.852,87.011,-7.669,30.8,14.508,14,A,72.2931,1.9,45103010
65899,9/30/2019,2019,3,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2019Q3,2019Q3,,18.101,38.067,57.319,85.463,-5.968,17.691,6.931,14,A,63.1912,1.66,45103010
65899,12/31/2019,2019,4,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2019Q4,2019Q4,,16.805,38.227,50.639,81.714,-6.364,17.311,6.411,14,A,45.8724,1.2,45103010
65899,3/31/2020,2020,1,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2020Q1,2020Q1,,19.046,38.231,54.727,80.218,-4.642,16.822,6.606,14,A,27.9086,0.73,45103010
65899,6/30/2020,2020,2,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2020Q2,2020Q2,,19.688,38.254,53.924,79.267,-5.112,17.085,5.988,14,A,49.7302,1.3,45103010
65899,9/30/2020,2020,3,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2020Q3,2020Q3,,13.245,38.275,44.963,17.073,-3.238,16.554,5.781,14,A,46.6955,1.22,45103010
65899,12/31/2020,2020,4,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2020Q4,2020Q4,,23.94,38.424,55.619,17.375,8.14,17.601,5.944,14,A,59.9414,1.56,45103010
65899,3/31/2021,2021,1,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2021Q1,2021Q1,,17.015,38.653,44.991,17.191,-10.448,15.888,6.238,14,A,164.2753,4.25,45103010
65899,6/30/2021,2021,2,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2021Q2,2021Q2,,29.86,46.998,61.721,17.229,-1.347,14.561,6.33,14,A,109.5053,2.33,45103010
